"Rank","Geographic Area","Census_2010","Estimates Base","Jul_1_2010","Jul_1_2011","Jul_1_2012","Jul_1_2013","Jul_1_2014","Jul_1_2015","Jul_1_2016","Jul_1_2017","Jul_1_2018","Jul_1_2019","latitude","longitude"
730,"West Sacramento city, California","48,744",48744,48842,49106,49528,49978,51637,52431,52933,53304,53601,53519,38.5804609,-121.530234
731,"Apopka city, Florida","41,542",42194,42407,43765,45103,46238,47796,49109,50486,52277,53557,53447,28.6779683,-81.5115214
732,"Palm Desert city, California","48,445",48449,48684,49251,49775,50357,50916,51552,52077,52794,53129,53275,33.74079965,-116.369369833944
733,"Milford city (balance), Connecticut","51,271",51261,51300,51376,51551,51653,51973,52128,52531,52816,53148,53195,41.2226155,-73.0462266216576
734,"Little Elm city, Texas","25,898",25892,26197,27709,29023,32916,35493,38438,42661,45988,49644,53126,33.1626194,-96.9375051
735,"Revere city, Massachusetts","51,755",51713,51845,52628,53241,53694,53802,53960,53942,54071,53483,53073,42.4084302,-71.0119948
736,"Peabody city, Massachusetts","51,251",51266,51399,51632,51904,52224,52463,52629,52759,52948,53092,53070,42.5278731,-70.9286609
737,"Wylie city, Texas","41,427",41685,42044,43597,44769,45352,46439,47348,48499,49536,51003,53067,33.0151201,-96.5388789
738,"Harrisonburg city, Virginia","48,914",48900,48993,49935,51312,51537,52542,52675,53542,53644,53488,53016,38.4493315,-78.8688833
739,"DeSoto city, Texas","49,047",49043,49344,50196,51216,51587,52046,52612,53088,53533,53254,52988,32.6060798,-96.8656805467914
740,"Pensacola city, Florida","51,923",52008,52014,51848,52149,52270,52434,52473,52662,52525,52637,52975,30.421309,-87.2169149
741,"Olympia city, Washington","46,478",46884,47067,47696,48089,48473,49327,49849,50732,51660,52508,52882,47.0451022,-122.8950075
742,"Edina city, Minnesota","47,941",47980,48037,48686,49202,49501,49704,50251,51428,51783,52430,52857,44.8897027,-93.3501222
743,"Wheaton city, Illinois","52,894",53045,53104,53416,53576,53765,53769,53736,53518,53406,53108,52745,41.8646959,-88.1101709
744,"West New York town, New Jersey","49,708",49710,49843,50511,50853,51252,51529,52540,52596,52732,52668,52723,42.075346,-73.601633
745,"Hoboken city, New Jersey","50,005",50020,50057,50769,51481,52177,52463,52839,53649,53662,53134,52677,40.7433066,-74.0323752
746,"Lacey city, Washington","42,393",42543,42708,43423,43947,44761,45271,46071,47309,49632,50600,52592,47.0263876,-122.8072257
747,"Summerville, South Carolina","43,392",42960,43175,43982,44710,45952,47370,49227,50216,51517,51880,52549,33.0186699,-80.1762704
748,"Coeur d'Alene city, Idaho","44,137",44168,44292,45009,45519,46250,47629,48761,49802,50584,51210,52414,47.6742994,-116.7811531
749,"Oak Park village, Illinois","51,878",51878,51896,52013,52099,52254,52138,52405,52060,52149,52173,52381,41.8878145,-87.7887615
750,"Elkhart city, Indiana","50,949",51908,51841,51905,51975,52157,52285,52505,52475,52372,52373,52358,41.6819935,-85.9766671
751,"Maricopa city, Arizona","43,482",43488,43686,43866,44030,44814,45543,46109,46914,48002,50028,52127,33.34883,-112.49123
752,"Kentwood city, Michigan","48,707",48701,48732,49186,49752,50352,50861,51352,51742,51781,51829,51898,42.8694731,-85.6447492
753,"Madison city, Alabama","42,938",43192,43556,44304,45189,45929,46636,47170,48158,49207,50491,51593,34.7736807,-86.5675095
754,"Smyrna town, Tennessee","39,974",40401,40568,41407,42128,43517,45731,46941,48515,49910,50748,51586,35.9741579,-86.5102493991735
755,"Glendora city, California","50,073",50267,50376,50624,50795,51120,51065,51769,51882,51997,51846,51544,34.1361187,-117.865339
756,"Logan city, Utah","48,174",48203,48448,49041,49094,49057,49048,49769,50621,51019,51334,51542,41.7313447,-111.8348631
757,"Burien city, Washington","33,313",48081,48224,48786,49511,49915,50304,50664,51377,51992,51731,51500,47.469918,-122.3485274
758,"Perth Amboy city, New Jersey","50,814",50827,50918,51137,51556,51722,51832,51705,51765,51821,51677,51390,40.5067723,-74.2654234
759,"Herriman city, Utah","21,785",21768,22520,23364,24378,26278,28461,30572,35049,39166,44663,51348,40.5140894,-112.0328198
760,"Grand Island city, Nebraska","48,520",48655,48819,49401,49905,50323,50887,50959,51182,51128,51219,51267,40.924271,-98.338685
761,"Placentia city, California","50,533",50915,50994,51503,51838,52105,52108,52202,52154,51916,51538,51233,33.8714814,-117.8617337
762,"La Crosse city, Wisconsin","51,320",51343,51376,51225,51962,51885,52145,52023,51830,51718,51491,51227,43.8014053,-91.2395429
763,"Battle Creek city, Michigan","52,347",52401,52315,51991,51871,51788,51776,51556,51453,51275,51105,51093,42.3192548,-85.1824269
764,"Beaumont city, California","36,877",36867,37261,38514,39286,40337,41994,43479,45156,46848,49126,51063,33.9294606,-116.977248
765,"Collierville town, Tennessee","43,965",45599,45661,45949,46438,47359,48754,48984,49462,50252,50671,51040,35.0535913,-89.6997166
766,"West Lafayette city, Indiana","29,596",41997,42052,42526,43227,43666,44975,46174,47503,47504,49019,50996,40.4258686,-86.9080655
767,"Florissant city, Missouri","52,158",52260,52235,52430,52379,52265,52172,52072,51652,51380,51147,50952,38.7919683,-90.3227803
768,"Hoffman Estates village, Illinois","51,895",51891,51942,52147,52301,52396,52342,52098,51828,51463,51111,50932,42.0427256,-88.0792782
769,"Joplin city, Missouri","50,150",50798,50911,48350,48483,48896,49402,49780,50192,50469,50604,50925,37.08418,-94.51323
770,"Queen Creek town, Arizona","26,361",26736,27058,27602,28148,30424,33011,35534,38850,43227,47123,50890,33.2397007,-111.6329924
771,"Aliso Viejo city, California","47,823",47674,47801,48474,49038,49538,49542,49499,50858,50982,51206,50887,33.5761376,-117.7258122
772,"Kannapolis city, North Carolina","42,625",42621,42699,43169,43769,44385,45310,46311,47577,48774,49770,50841,35.4874708,-80.621438
773,"Methuen, Massachusetts","47,255",47328,47445,47798,48129,48706,49384,49797,49953,50308,50565,50706,42.7262016,-71.1908924
774,"Galveston city, Texas","47,743",47741,47793,47555,48100,48658,49251,49691,50186,50569,50396,50446,29.299328,-94.7945882
775,"Mishawaka city, Indiana","48,252",48236,48203,48106,48045,48111,48260,48279,48814,48984,49810,50363,41.6611642,-86.1807031
776,"Plainfield city, New Jersey","49,808",49595,49667,49816,49972,50223,50315,50464,50276,50367,50430,50317,40.6337136,-74.4073737
777,"Newark city, Ohio","47,573",47558,47614,47720,47809,48034,48283,48592,48946,49471,50001,50315,40.0581205,-82.4012643
778,"Stillwater city, Oklahoma","45,688",45721,45762,46264,46723,47426,48454,49135,49769,50039,50479,50299,36.1156306,-97.0585717
779,"Twin Falls city, Idaho","44,125",44320,44517,44851,45088,45846,46480,47280,48287,49298,49713,50197,42.5704456,-114.4602554
780,"Texas City city, Texas","45,099",45084,45284,45179,45577,45900,46383,47299,47994,48417,49078,50094,29.396013,-94.9175485
781,"Cerritos city, California","49,041",49043,49042,49223,49384,49507,49532,49546,50346,50697,50288,49859,33.8644291,-118.0539323
782,"Coral Gables city, Florida","46,780",46746,46963,47613,49049,49762,50176,50275,50396,50628,50125,49700,25.72149,-80.2683838
783,"Enid city, Oklahoma","49,379",49385,49530,49529,50018,50787,51113,51478,50869,50132,49723,49688,36.3967623,-97.8791341
784,"Lakewood city, Ohio","52,131",52131,52026,51662,51400,51257,51088,50811,50528,50211,50012,49678,41.4819932,-81.7981908
785,"Troy city, New York","50,129",50162,50081,50020,49848,49921,49968,49776,49597,49433,49354,49154,40.5754919,-74.1051637
786,"Saginaw city, Michigan","51,508",51469,51363,51012,50728,50272,49798,49230,48902,48696,48310,48115,43.4200387,-83.9490365
787,"Niagara Falls city, New York","50,193",50031,49996,49760,49526,49328,49083,48769,48526,48249,48012,47720,43.08436,-79.0614686
788,"Charleston city, West Virginia","51,400",51340,51274,50992,50858,50657,50133,49457,48789,48040,47172,46536,38.3505995,-81.6332812
